Year,Area Name,Age,Total Population
2019,Andrews,< 01 Year,244
2019,Andrews,01 Years,276
2019,Andrews,02 Years,274
2019,Andrews,03 Years,304
2019,Andrews,04 Years,335
2019,Andrews,05 Years,338
2019,Andrews,06 Years,323
2019,Andrews,07 Years,334
2019,Andrews,08 Years,329
2019,Andrews,09 Years,302
2019,Andrews,10 Years,298
2019,Andrews,11 Years,335
2019,Andrews,12 Years,352
2019,Andrews,13 Years,339
2019,Andrews,14 Years,317
2019,Andrews,15 Years,334
2019,Andrews,16 Years,319
2019,Andrews,17 Years,309
2019,Andrews,18 Years,257
2019,Andrews,19 Years,229
2019,Andrews,20 Years,278
2019,Andrews,21 Years,200
2019,Andrews,22 Years,213
2019,Andrews,23 Years,218
2019,Andrews,24 Years,205
2019,Andrews,25 Years,220
2019,Andrews,26 Years,262
2019,Andrews,27 Years,287
2019,Andrews,28 Years,232
2019,Andrews,29 Years,306
2019,Andrews,30 Years,286
2019,Andrews,31 Years,315
2019,Andrews,32 Years,264
2019,Andrews,33 Years,293
2019,Andrews,34 Years,257
2019,Andrews,35 Years,258
2019,Andrews,36 Years,303
2019,Andrews,37 Years,292
2019,Andrews,38 Years,264
2019,Andrews,39 Years,235
2019,Andrews,40 Years,234
2019,Andrews,41 Years,232
2019,Andrews,42 Years,206
2019,Andrews,43 Years,199
2019,Andrews,44 Years,211
2019,Andrews,45 Years,216
2019,Andrews,46 Years,181
2019,Andrews,47 Years,242
2019,Andrews,48 Years,196
2019,Andrews,49 Years,203
2019,Andrews,50 Years,213
2019,Andrews,51 Years,177
2019,Andrews,52 Years,218
2019,Andrews,53 Years,196
2019,Andrews,54 Years,195
2019,Andrews,55 Years,204
2019,Andrews,56 Years,240
2019,Andrews,57 Years,210
2019,Andrews,58 Years,200
2019,Andrews,59 Years,252
2019,Andrews,60 Years,224
2019,Andrews,61 Years,223
2019,Andrews,62 Years,187
2019,Andrews,63 Years,264
2019,Andrews,64 Years,164
2019,Andrews,65 Years,150
2019,Andrews,66 Years,155
2019,Andrews,67 Years,129
2019,Andrews,68 Years,138
2019,Andrews,69 Years,110
2019,Andrews,70 Years,79
2019,Andrews,71 Years,125
2019,Andrews,72 Years,100
2019,Andrews,73 Years,135
2019,Andrews,74 Years,69
2019,Andrews,75 Years,76
2019,Andrews,76 Years,75
2019,Andrews,77 Years,76
2019,Andrews,78 Years,71
2019,Andrews,79 Years,30
2019,Andrews,80 Years,54
2019,Andrews,81 Years,72
2019,Andrews,82 Years,47
2019,Andrews,83 Years,30
2019,Andrews,84 Years,47
2019,Andrews,85 Years,19
2019,Andrews,86 Years,36
2019,Andrews,87 Years,34
2019,Andrews,88 Years,24
2019,Andrews,89 Years,20
2019,Andrews,90 Years,18
2019,Andrews,91 Years,7
2019,Andrews,92 Years,9
2019,Andrews,93 Years,5
2019,Andrews,94 Years,28
2019,Andrews,95+ Years,19
2019,Atascosa,< 01 Year,570
2019,Atascosa,01 Years,630
2019,Atascosa,02 Years,658
2019,Atascosa,03 Years,630
2019,Atascosa,04 Years,699
2019,Atascosa,05 Years,716
2019,Atascosa,06 Years,672
2019,Atascosa,07 Years,719
2019,Atascosa,08 Years,674
2019,Atascosa,09 Years,756
2019,Atascosa,10 Years,767
2019,Atascosa,11 Years,779
2019,Atascosa,12 Years,796
2019,Atascosa,13 Years,801
2019,Atascosa,14 Years,777
2019,Atascosa,15 Years,808
2019,Atascosa,16 Years,792
2019,Atascosa,17 Years,754
2019,Atascosa,18 Years,757
2019,Atascosa,19 Years,662
2019,Atascosa,20 Years,633
2019,Atascosa,21 Years,654
2019,Atascosa,22 Years,547
2019,Atascosa,23 Years,581
2019,Atascosa,24 Years,519
2019,Atascosa,25 Years,590
2019,Atascosa,26 Years,565
2019,Atascosa,27 Years,567
2019,Atascosa,28 Years,607
2019,Atascosa,29 Years,508
2019,Atascosa,30 Years,623
2019,Atascosa,31 Years,598
2019,Atascosa,32 Years,601
2019,Atascosa,33 Years,525
2019,Atascosa,34 Years,545
2019,Atascosa,35 Years,616
2019,Atascosa,36 Years,559
2019,Atascosa,37 Years,558
2019,Atascosa,38 Years,609
2019,Atascosa,39 Years,586
2019,Atascosa,40 Years,659
2019,Atascosa,41 Years,591
2019,Atascosa,42 Years,632
2019,Atascosa,43 Years,504
2019,Atascosa,44 Years,616
2019,Atascosa,45 Years,587
2019,Atascosa,46 Years,501
2019,Atascosa,47 Years,579
2019,Atascosa,48 Years,628
2019,Atascosa,49 Years,627
2019,Atascosa,50 Years,718
2019,Atascosa,51 Years,587
2019,Atascosa,52 Years,537
2019,Atascosa,53 Years,614
2019,Atascosa,54 Years,643
2019,Atascosa,55 Years,660
2019,Atascosa,56 Years,677
2019,Atascosa,57 Years,649
2019,Atascosa,58 Years,610
2019,Atascosa,59 Years,662
2019,Atascosa,60 Years,693
2019,Atascosa,61 Years,595
2019,Atascosa,62 Years,638
2019,Atascosa,63 Years,553
2019,Atascosa,64 Years,574
2019,Atascosa,65 Years,522
2019,Atascosa,66 Years,580
2019,Atascosa,67 Years,527
2019,Atascosa,68 Years,499
2019,Atascosa,69 Years,426
2019,Atascosa,70 Years,518
2019,Atascosa,71 Years,445
2019,Atascosa,72 Years,474
2019,Atascosa,73 Years,436
2019,Atascosa,74 Years,315
2019,Atascosa,75 Years,334
2019,Atascosa,76 Years,280
2019,Atascosa,77 Years,308
2019,Atascosa,78 Years,257
2019,Atascosa,79 Years,181
2019,Atascosa,80 Years,231
2019,Atascosa,81 Years,181
2019,Atascosa,82 Years,150
2019,Atascosa,83 Years,136
2019,Atascosa,84 Years,113
2019,Atascosa,85 Years,116
2019,Atascosa,86 Years,87
2019,Atascosa,87 Years,106
2019,Atascosa,88 Years,58
2019,Atascosa,89 Years,80
2019,Atascosa,90 Years,39
2019,Atascosa,91 Years,49
2019,Atascosa,92 Years,38
2019,Atascosa,93 Years,36
2019,Atascosa,94 Years,33
2019,Atascosa,95+ Years,84
2019,Bailey,< 01 Year,100
2019,Bailey,01 Years,107
2019,Bailey,02 Years,97
2019,Bailey,03 Years,118
2019,Bailey,04 Years,105
2019,Bailey,05 Years,107
2019,Bailey,06 Years,119
2019,Bailey,07 Years,92
2019,Bailey,08 Years,109
2019,Bailey,09 Years,126
2019,Bailey,10 Years,129
2019,Bailey,11 Years,120
2019,Bailey,12 Years,129
2019,Bailey,13 Years,106
2019,Bailey,14 Years,129
2019,Bailey,15 Years,137
2019,Bailey,16 Years,102
2019,Bailey,17 Years,134
2019,Bailey,18 Years,98
2019,Bailey,19 Years,97
2019,Bailey,20 Years,60
2019,Bailey,21 Years,107
2019,Bailey,22 Years,72
2019,Bailey,23 Years,80
2019,Bailey,24 Years,94
2019,Bailey,25 Years,83
2019,Bailey,26 Years,90
2019,Bailey,27 Years,95
2019,Bailey,28 Years,124
2019,Bailey,29 Years,88
2019,Bailey,30 Years,88
2019,Bailey,31 Years,92
2019,Bailey,32 Years,66
2019,Bailey,33 Years,88
2019,Bailey,34 Years,113
2019,Bailey,35 Years,106
2019,Bailey,36 Years,94
2019,Bailey,37 Years,70
2019,Bailey,38 Years,58
2019,Bailey,39 Years,107
2019,Bailey,40 Years,79
2019,Bailey,41 Years,90
2019,Bailey,42 Years,114
2019,Bailey,43 Years,52
2019,Bailey,44 Years,80
2019,Bailey,45 Years,80
2019,Bailey,46 Years,79
2019,Bailey,47 Years,62
2019,Bailey,48 Years,42
2019,Bailey,49 Years,46
2019,Bailey,50 Years,102
2019,Bailey,51 Years,76
2019,Bailey,52 Years,53
2019,Bailey,53 Years,59
2019,Bailey,54 Years,81
2019,Bailey,55 Years,88
2019,Bailey,56 Years,91
2019,Bailey,57 Years,59
2019,Bailey,58 Years,80
2019,Bailey,59 Years,57
2019,Bailey,60 Years,68
2019,Bailey,61 Years,86
2019,Bailey,62 Years,93
2019,Bailey,63 Years,62
2019,Bailey,64 Years,91
2019,Bailey,65 Years,60
2019,Bailey,66 Years,76
2019,Bailey,67 Years,91
2019,Bailey,68 Years,57
2019,Bailey,69 Years,20
2019,Bailey,70 Years,58
2019,Bailey,71 Years,57
2019,Bailey,72 Years,54
2019,Bailey,73 Years,28
2019,Bailey,74 Years,60
2019,Bailey,75 Years,31
2019,Bailey,76 Years,29
2019,Bailey,77 Years,36
2019,Bailey,78 Years,33
2019,Bailey,79 Years,35
2019,Bailey,80 Years,31
2019,Bailey,81 Years,32
2019,Bailey,82 Years,27
2019,Bailey,83 Years,24
2019,Bailey,84 Years,25
2019,Bailey,85 Years,13
2019,Bailey,86 Years,14
2019,Bailey,87 Years,13
2019,Bailey,88 Years,32
2019,Bailey,89 Years,9
2019,Bailey,90 Years,4
2019,Bailey,91 Years,4
2019,Bailey,92 Years,5
2019,Bailey,93 Years,5
2019,Bailey,94 Years,15
2019,Bailey,95+ Years,20
2019,Bexar,< 01 Year,"23,397"
2019,Bexar,01 Years,"23,986"
2019,Bexar,02 Years,"25,031"
2019,Bexar,03 Years,"26,187"
2019,Bexar,04 Years,"26,934"
2019,Bexar,05 Years,"28,021"
2019,Bexar,06 Years,"27,541"
2019,Bexar,07 Years,"27,210"
2019,Bexar,08 Years,"27,242"
2019,Bexar,09 Years,"27,607"
2019,Bexar,10 Years,"29,046"
2019,Bexar,11 Years,"28,920"
2019,Bexar,12 Years,"29,855"
2019,Bexar,13 Years,"29,367"
2019,Bexar,14 Years,"29,330"
2019,Bexar,15 Years,"29,317"
2019,Bexar,16 Years,"29,084"
2019,Bexar,17 Years,"28,861"
2019,Bexar,18 Years,"29,461"
2019,Bexar,19 Years,"31,583"
2019,Bexar,20 Years,"31,659"
2019,Bexar,21 Years,"30,145"
2019,Bexar,22 Years,"29,624"
2019,Bexar,23 Years,"29,208"
2019,Bexar,24 Years,"29,486"
2019,Bexar,25 Years,"31,244"
2019,Bexar,26 Years,"29,858"
2019,Bexar,27 Years,"30,051"
2019,Bexar,28 Years,"30,429"
2019,Bexar,29 Years,"30,047"
2019,Bexar,30 Years,"32,713"
2019,Bexar,31 Years,"28,737"
2019,Bexar,32 Years,"29,527"
2019,Bexar,33 Years,"28,828"
2019,Bexar,34 Years,"28,613"
2019,Bexar,35 Years,"31,054"
2019,Bexar,36 Years,"28,087"
2019,Bexar,37 Years,"27,980"
2019,Bexar,38 Years,"27,724"
2019,Bexar,39 Years,"27,403"
2019,Bexar,40 Years,"29,077"
2019,Bexar,41 Years,"25,206"
2019,Bexar,42 Years,"25,033"
2019,Bexar,43 Years,"24,298"
2019,Bexar,44 Years,"24,132"
2019,Bexar,45 Years,"25,483"
2019,Bexar,46 Years,"23,701"
2019,Bexar,47 Years,"24,566"
2019,Bexar,48 Years,"24,906"
2019,Bexar,49 Years,"25,924"
2019,Bexar,50 Years,"26,291"
2019,Bexar,51 Years,"23,207"
2019,Bexar,52 Years,"22,506"
2019,Bexar,53 Years,"22,105"
2019,Bexar,54 Years,"23,014"
2019,Bexar,55 Years,"24,782"
2019,Bexar,56 Years,"23,829"
2019,Bexar,57 Years,"23,847"
2019,Bexar,58 Years,"23,124"
2019,Bexar,59 Years,"22,955"
2019,Bexar,60 Years,"23,261"
2019,Bexar,61 Years,"21,189"
2019,Bexar,62 Years,"21,403"
2019,Bexar,63 Years,"20,377"
2019,Bexar,64 Years,"19,865"
2019,Bexar,65 Years,"19,898"
2019,Bexar,66 Years,"18,346"
2019,Bexar,67 Years,"18,212"
2019,Bexar,68 Years,"16,951"
2019,Bexar,69 Years,"16,107"
2019,Bexar,70 Years,"16,367"
2019,Bexar,71 Years,"15,236"
2019,Bexar,72 Years,"14,892"
2019,Bexar,73 Years,"14,058"
2019,Bexar,74 Years,"10,726"
2019,Bexar,75 Years,"10,693"
2019,Bexar,76 Years,"9,984"
2019,Bexar,77 Years,"9,253"
2019,Bexar,78 Years,"8,259"
2019,Bexar,79 Years,"7,528"
2019,Bexar,80 Years,"6,999"
2019,Bexar,81 Years,"6,189"
2019,Bexar,82 Years,"5,878"
2019,Bexar,83 Years,"5,343"
2019,Bexar,84 Years,"4,949"
2019,Bexar,85 Years,"4,667"
2019,Bexar,86 Years,"3,922"
2019,Bexar,87 Years,"3,654"
2019,Bexar,88 Years,"3,170"
2019,Bexar,89 Years,"2,745"
2019,Bexar,90 Years,"2,409"
2019,Bexar,91 Years,"1,916"
2019,Bexar,92 Years,"1,560"
2019,Bexar,93 Years,"1,308"
2019,Bexar,94 Years,972
2019,Bexar,95+ Years,"2,655"
2019,Borden,< 01 Year,7
2019,Borden,01 Years,10
2019,Borden,02 Years,4
2019,Borden,03 Years,5
2019,Borden,04 Years,5
2019,Borden,05 Years,3
2019,Borden,06 Years,16
2019,Borden,07 Years,12
2019,Borden,08 Years,2
2019,Borden,09 Years,9
2019,Borden,10 Years,7
2019,Borden,11 Years,11
2019,Borden,12 Years,7
2019,Borden,13 Years,13
2019,Borden,14 Years,9
2019,Borden,15 Years,15
2019,Borden,16 Years,12
2019,Borden,17 Years,13
2019,Borden,18 Years,7
2019,Borden,19 Years,7
2019,Borden,20 Years,4
2019,Borden,21 Years,8
2019,Borden,22 Years,3
2019,Borden,23 Years,2
2019,Borden,24 Years,1
