Year,County,Age,Total Population
2024,Andrews,< 01 Year,264
2024,Andrews,01 Years,279
2024,Andrews,02 Years,290
2024,Andrews,03 Years,277
2024,Andrews,04 Years,245
2024,Andrews,05 Years,276
2024,Andrews,06 Years,273
2024,Andrews,07 Years,303
2024,Andrews,08 Years,333
2024,Andrews,09 Years,336
2024,Andrews,10 Years,320
2024,Andrews,11 Years,333
2024,Andrews,12 Years,325
2024,Andrews,13 Years,302
2024,Andrews,14 Years,298
2024,Andrews,15 Years,335
2024,Andrews,16 Years,352
2024,Andrews,17 Years,341
2024,Andrews,18 Years,318
2024,Andrews,19 Years,337
2024,Andrews,20 Years,323
2024,Andrews,21 Years,316
2024,Andrews,22 Years,267
2024,Andrews,23 Years,240
2024,Andrews,24 Years,287
2024,Andrews,25 Years,211
2024,Andrews,26 Years,223
2024,Andrews,27 Years,227
2024,Andrews,28 Years,215
2024,Andrews,29 Years,231
2024,Andrews,30 Years,270
2024,Andrews,31 Years,295
2024,Andrews,32 Years,243
2024,Andrews,33 Years,313
2024,Andrews,34 Years,294
2024,Andrews,35 Years,319
2024,Andrews,36 Years,268
2024,Andrews,37 Years,294
2024,Andrews,38 Years,257
2024,Andrews,39 Years,261
2024,Andrews,40 Years,300
2024,Andrews,41 Years,292
2024,Andrews,42 Years,266
2024,Andrews,43 Years,237
2024,Andrews,44 Years,233
2024,Andrews,45 Years,233
2024,Andrews,46 Years,209
2024,Andrews,47 Years,202
2024,Andrews,48 Years,213
2024,Andrews,49 Years,220
2024,Andrews,50 Years,184
2024,Andrews,51 Years,241
2024,Andrews,52 Years,195
2024,Andrews,53 Years,199
2024,Andrews,54 Years,211
2024,Andrews,55 Years,177
2024,Andrews,56 Years,222
2024,Andrews,57 Years,198
2024,Andrews,58 Years,193
2024,Andrews,59 Years,199
2024,Andrews,60 Years,238
2024,Andrews,61 Years,203
2024,Andrews,62 Years,193
2024,Andrews,63 Years,244
2024,Andrews,64 Years,216
2024,Andrews,65 Years,214
2024,Andrews,66 Years,181
2024,Andrews,67 Years,251
2024,Andrews,68 Years,150
2024,Andrews,69 Years,140
2024,Andrews,70 Years,147
2024,Andrews,71 Years,122
2024,Andrews,72 Years,121
2024,Andrews,73 Years,99
2024,Andrews,74 Years,72
2024,Andrews,75 Years,109
2024,Andrews,76 Years,85
2024,Andrews,77 Years,118
2024,Andrews,78 Years,60
2024,Andrews,79 Years,65
2024,Andrews,80 Years,65
2024,Andrews,81 Years,69
2024,Andrews,82 Years,65
2024,Andrews,83 Years,25
2024,Andrews,84 Years,44
2024,Andrews,85 Years,54
2024,Andrews,86 Years,33
2024,Andrews,87 Years,18
2024,Andrews,88 Years,33
2024,Andrews,89 Years,11
2024,Andrews,90 Years,25
2024,Andrews,91 Years,24
2024,Andrews,92 Years,16
2024,Andrews,93 Years,11
2024,Andrews,94 Years,13
2024,Andrews,95+ Years,30
2024,Atascosa,< 01 Year,710
2024,Atascosa,01 Years,695
2024,Atascosa,02 Years,650
2024,Atascosa,03 Years,655
2024,Atascosa,04 Years,597
2024,Atascosa,05 Years,655
2024,Atascosa,06 Years,684
2024,Atascosa,07 Years,657
2024,Atascosa,08 Years,726
2024,Atascosa,09 Years,745
2024,Atascosa,10 Years,702
2024,Atascosa,11 Years,748
2024,Atascosa,12 Years,705
2024,Atascosa,13 Years,784
2024,Atascosa,14 Years,799
2024,Atascosa,15 Years,814
2024,Atascosa,16 Years,829
2024,Atascosa,17 Years,835
2024,Atascosa,18 Years,810
2024,Atascosa,19 Years,843
2024,Atascosa,20 Years,825
2024,Atascosa,21 Years,793
2024,Atascosa,22 Years,791
2024,Atascosa,23 Years,694
2024,Atascosa,24 Years,665
2024,Atascosa,25 Years,686
2024,Atascosa,26 Years,578
2024,Atascosa,27 Years,612
2024,Atascosa,28 Years,547
2024,Atascosa,29 Years,618
2024,Atascosa,30 Years,593
2024,Atascosa,31 Years,594
2024,Atascosa,32 Years,636
2024,Atascosa,33 Years,538
2024,Atascosa,34 Years,657
2024,Atascosa,35 Years,629
2024,Atascosa,36 Years,633
2024,Atascosa,37 Years,552
2024,Atascosa,38 Years,570
2024,Atascosa,39 Years,638
2024,Atascosa,40 Years,580
2024,Atascosa,41 Years,582
2024,Atascosa,42 Years,626
2024,Atascosa,43 Years,605
2024,Atascosa,44 Years,682
2024,Atascosa,45 Years,610
2024,Atascosa,46 Years,652
2024,Atascosa,47 Years,520
2024,Atascosa,48 Years,637
2024,Atascosa,49 Years,605
2024,Atascosa,50 Years,521
2024,Atascosa,51 Years,602
2024,Atascosa,52 Years,640
2024,Atascosa,53 Years,639
2024,Atascosa,54 Years,734
2024,Atascosa,55 Years,600
2024,Atascosa,56 Years,547
2024,Atascosa,57 Years,623
2024,Atascosa,58 Years,650
2024,Atascosa,59 Years,672
2024,Atascosa,60 Years,678
2024,Atascosa,61 Years,650
2024,Atascosa,62 Years,612
2024,Atascosa,63 Years,658
2024,Atascosa,64 Years,679
2024,Atascosa,65 Years,589
2024,Atascosa,66 Years,633
2024,Atascosa,67 Years,547
2024,Atascosa,68 Years,562
2024,Atascosa,69 Years,499
2024,Atascosa,70 Years,558
2024,Atascosa,71 Years,498
2024,Atascosa,72 Years,471
2024,Atascosa,73 Years,394
2024,Atascosa,74 Years,481
2024,Atascosa,75 Years,418
2024,Atascosa,76 Years,429
2024,Atascosa,77 Years,390
2024,Atascosa,78 Years,270
2024,Atascosa,79 Years,283
2024,Atascosa,80 Years,240
2024,Atascosa,81 Years,268
2024,Atascosa,82 Years,210
2024,Atascosa,83 Years,138
2024,Atascosa,84 Years,189
2024,Atascosa,85 Years,138
2024,Atascosa,86 Years,104
2024,Atascosa,87 Years,100
2024,Atascosa,88 Years,75
2024,Atascosa,89 Years,70
2024,Atascosa,90 Years,38
2024,Atascosa,91 Years,59
2024,Atascosa,92 Years,20
2024,Atascosa,93 Years,45
2024,Atascosa,94 Years,15
2024,Atascosa,95+ Years,30
2024,Bailey,< 01 Year,106
2024,Bailey,01 Years,124
2024,Bailey,02 Years,115
2024,Bailey,03 Years,106
2024,Bailey,04 Years,94
2024,Bailey,05 Years,108
2024,Bailey,06 Years,97
2024,Bailey,07 Years,114
2024,Bailey,08 Years,105
2024,Bailey,09 Years,104
2024,Bailey,10 Years,115
2024,Bailey,11 Years,88
2024,Bailey,12 Years,107
2024,Bailey,13 Years,124
2024,Bailey,14 Years,127
2024,Bailey,15 Years,115
2024,Bailey,16 Years,127
2024,Bailey,17 Years,103
2024,Bailey,18 Years,125
2024,Bailey,19 Years,133
2024,Bailey,20 Years,98
2024,Bailey,21 Years,129
2024,Bailey,22 Years,95
2024,Bailey,23 Years,92
2024,Bailey,24 Years,56
2024,Bailey,25 Years,105
2024,Bailey,26 Years,71
2024,Bailey,27 Years,78
2024,Bailey,28 Years,96
2024,Bailey,29 Years,75
2024,Bailey,30 Years,81
2024,Bailey,31 Years,85
2024,Bailey,32 Years,114
2024,Bailey,33 Years,82
2024,Bailey,34 Years,83
2024,Bailey,35 Years,88
2024,Bailey,36 Years,63
2024,Bailey,37 Years,84
2024,Bailey,38 Years,112
2024,Bailey,39 Years,105
2024,Bailey,40 Years,89
2024,Bailey,41 Years,66
2024,Bailey,42 Years,56
2024,Bailey,43 Years,101
2024,Bailey,44 Years,76
2024,Bailey,45 Years,87
2024,Bailey,46 Years,109
2024,Bailey,47 Years,50
2024,Bailey,48 Years,77
2024,Bailey,49 Years,77
2024,Bailey,50 Years,72
2024,Bailey,51 Years,58
2024,Bailey,52 Years,37
2024,Bailey,53 Years,38
2024,Bailey,54 Years,98
2024,Bailey,55 Years,69
2024,Bailey,56 Years,46
2024,Bailey,57 Years,55
2024,Bailey,58 Years,74
2024,Bailey,59 Years,82
2024,Bailey,60 Years,87
2024,Bailey,61 Years,58
2024,Bailey,62 Years,78
2024,Bailey,63 Years,52
2024,Bailey,64 Years,66
2024,Bailey,65 Years,79
2024,Bailey,66 Years,88
2024,Bailey,67 Years,59
2024,Bailey,68 Years,87
2024,Bailey,69 Years,57
2024,Bailey,70 Years,74
2024,Bailey,71 Years,88
2024,Bailey,72 Years,56
2024,Bailey,73 Years,18
2024,Bailey,74 Years,55
2024,Bailey,75 Years,55
2024,Bailey,76 Years,51
2024,Bailey,77 Years,22
2024,Bailey,78 Years,56
2024,Bailey,79 Years,25
2024,Bailey,80 Years,25
2024,Bailey,81 Years,33
2024,Bailey,82 Years,34
2024,Bailey,83 Years,32
2024,Bailey,84 Years,24
2024,Bailey,85 Years,31
2024,Bailey,86 Years,25
2024,Bailey,87 Years,20
2024,Bailey,88 Years,25
2024,Bailey,89 Years,6
2024,Bailey,90 Years,9
2024,Bailey,91 Years,9
2024,Bailey,92 Years,22
2024,Bailey,93 Years,5
2024,Bailey,94 Years,1
2024,Bailey,95+ Years,6
2024,Bexar,< 01 Year,26775
2024,Bexar,01 Years,27272
2024,Bexar,02 Years,27012
2024,Bexar,03 Years,26563
2024,Bexar,04 Years,24675
2024,Bexar,05 Years,25286
2024,Bexar,06 Years,26344
2024,Bexar,07 Years,27521
2024,Bexar,08 Years,28298
2024,Bexar,09 Years,29396
2024,Bexar,10 Years,28933
2024,Bexar,11 Years,28598
2024,Bexar,12 Years,28629
2024,Bexar,13 Years,28992
2024,Bexar,14 Years,30431
2024,Bexar,15 Years,31515
2024,Bexar,16 Years,32489
2024,Bexar,17 Years,32033
2024,Bexar,18 Years,32286
2024,Bexar,19 Years,32972
2024,Bexar,20 Years,33357
2024,Bexar,21 Years,32600
2024,Bexar,22 Years,33040
2024,Bexar,23 Years,33197
2024,Bexar,24 Years,33168
2024,Bexar,25 Years,31560
2024,Bexar,26 Years,30662
2024,Bexar,27 Years,30661
2024,Bexar,28 Years,30805
2024,Bexar,29 Years,33550
2024,Bexar,30 Years,33350
2024,Bexar,31 Years,32100
2024,Bexar,32 Years,32616
2024,Bexar,33 Years,31662
2024,Bexar,34 Years,33265
2024,Bexar,35 Years,31005
2024,Bexar,36 Years,30135
2024,Bexar,37 Years,29760
2024,Bexar,38 Years,29264
2024,Bexar,39 Years,30903
2024,Bexar,40 Years,29291
2024,Bexar,41 Years,27520
2024,Bexar,42 Years,27457
2024,Bexar,43 Years,26517
2024,Bexar,44 Years,27809
2024,Bexar,45 Years,25167
2024,Bexar,46 Years,25043
2024,Bexar,47 Years,24917
2024,Bexar,48 Years,24706
2024,Bexar,49 Years,26061
2024,Bexar,50 Years,24200
2024,Bexar,51 Years,24984
2024,Bexar,52 Years,25279
2024,Bexar,53 Years,26292
2024,Bexar,54 Years,26637
2024,Bexar,55 Years,23533
2024,Bexar,56 Years,22760
2024,Bexar,57 Years,22269
2024,Bexar,58 Years,23120
2024,Bexar,59 Years,24868
2024,Bexar,60 Years,23819
2024,Bexar,61 Years,23760
2024,Bexar,62 Years,23006
2024,Bexar,63 Years,22760
2024,Bexar,64 Years,22993
